datetime,open,high,low,close
2026-08-05 11:40:00+00:00,157.55289,157.56986,157.54177,157.54407
2026-08-05 11:45:00+00:00,157.54978,157.57748,157.53664,157.56369
2026-08-05 11:50:00+00:00,157.5654,157.60475,157.5654,157.59074
2026-08-05 11:55:00+00:00,157.58774,157.59591,157.56188,157.56406
2026-08-05 12:00:00+00:00,157.56583,157.58172,157.54678,157.54829
2026-08-05 12:05:00+00:00,157.55287,157.5928,157.55287,157.58568
2026-08-05 12:10:00+00:00,157.57397,157.60613,157.57397,157.58142
2026-08-05 12:15:00+00:00,157.58338,157.58338,157.50756,157.51391
2026-08-05 12:20:00+00:00,157.52497,157.52497,157.43783,157.45807
2026-08-05 12:25:00+00:00,157.45475,157.50679,157.45218,157.50371
2026-08-05 12:30:00+00:00,157.49794,157.57171,157.4896,157.56795
2026-08-05 12:35:00+00:00,157.56389,157.56389,157.48849,157.49256
2026-08-05 12:40:00+00:00,157.49714,157.59214,157.49714,157.58422
2026-08-05 12:45:00+00:00,157.57332,157.60219,157.57332,157.59977
2026-08-05 12:50:00+00:00,157.59787,157.61087,157.57073,157.59713
2026-08-05 12:55:00+00:00,157.5974,157.63236,157.58993,157.62138
2026-08-05 13:00:00+00:00,157.62197,157.62261,157.59573,157.61097
2026-08-05 13:05:00+00:00,157.60556,157.60556,157.55926,157.56438
2026-08-05 13:10:00+00:00,157.56884,157.57276,157.55014,157.57006
2026-08-05 13:15:00+00:00,157.55888,157.59039,157.55888,157.56245
2026-08-05 13:20:00+00:00,157.56527,157.63516,157.56081,157.62354
2026-08-05 13:25:00+00:00,157.60801,157.64238,157.5577,157.56345
2026-08-05 13:30:00+00:00,157.5729,157.5729,157.50388,157.51418
2026-08-05 13:35:00+00:00,157.5345,157.56516,157.4904,157.5636
2026-08-05 13:40:00+00:00,157.55942,157.55942,157.46466,157.48526
2026-08-05 13:45:00+00:00,157.48983,157.52123,157.46647,157.5187
2026-08-05 13:50:00+00:00,157.51269,157.55479,157.51269,157.54855
2026-08-05 13:55:00+00:00,157.54413,157.55756,157.51931,157.55608
2026-08-05 14:00:00+00:00,157.55224,157.55224,157.47002,157.49369
2026-08-05 14:05:00+00:00,157.49611,157.52097,157.33173,157.33714
2026-08-05 14:10:00+00:00,157.34407,157.41267,157.34407,157.4112
2026-08-05 14:15:00+00:00,157.40661,157.41831,157.35403,157.41427
2026-08-05 14:20:00+00:00,157.40661,157.4668,157.40661,157.46341
2026-08-05 14:25:00+00:00,157.45866,157.46901,157.45288,157.45715
2026-08-05 14:30:00+00:00,157.46255,157.49472,157.44798,157.47926
2026-08-05 14:35:00+00:00,157.47923,157.53348,157.47247,157.53184
2026-08-05 14:40:00+00:00,157.52809,157.5317,157.49063,157.49291
2026-08-05 14:45:00+00:00,157.49854,157.56445,157.48218,157.56048
2026-08-05 14:50:00+00:00,157.55862,157.58213,157.53718,157.57982
2026-08-05 14:55:00+00:00,157.57033,157.60304,157.48858,157.49495
2026-08-05 15:00:00+00:00,157.50596,157.50596,157.40822,157.41658
2026-08-05 15:05:00+00:00,157.43879,157.50664,157.43879,157.5029
2026-08-05 15:10:00+00:00,157.4928,157.55092,157.4928,157.54878
