datetime,open,high,low,close
2026-08-05 11:35:00+00:00,1.34787,1.34816,1.34787,1.34814
2026-08-05 11:40:00+00:00,1.3481,1.34827,1.34793,1.34799
2026-08-05 11:45:00+00:00,1.34804,1.34804,1.34776,1.34786
2026-08-05 11:50:00+00:00,1.34784,1.34793,1.34773,1.34792
2026-08-05 11:55:00+00:00,1.34788,1.34818,1.34788,1.34816
2026-08-05 12:00:00+00:00,1.3481,1.34814,1.34781,1.34783
2026-08-05 12:05:00+00:00,1.34788,1.34807,1.34788,1.34806
2026-08-05 12:10:00+00:00,1.34803,1.34803,1.34749,1.34757
2026-08-05 12:15:00+00:00,1.34755,1.348,1.34751,1.34799
2026-08-05 12:20:00+00:00,1.34793,1.34831,1.34789,1.34829
2026-08-05 12:25:00+00:00,1.34827,1.34827,1.34813,1.34823
2026-08-05 12:30:00+00:00,1.34819,1.34825,1.34773,1.3479
2026-08-05 12:35:00+00:00,1.34786,1.34845,1.34775,1.34841
2026-08-05 12:40:00+00:00,1.34834,1.34834,1.34764,1.34767
2026-08-05 12:45:00+00:00,1.34773,1.34773,1.34738,1.34749
2026-08-05 12:50:00+00:00,1.34746,1.3476,1.34717,1.34721
2026-08-05 12:55:00+00:00,1.34727,1.34727,1.34691,1.34718
2026-08-05 13:00:00+00:00,1.34715,1.3472,1.34681,1.34715
2026-08-05 13:05:00+00:00,1.34706,1.34727,1.34706,1.34715
2026-08-05 13:10:00+00:00,1.34717,1.34731,1.34706,1.3471
2026-08-05 13:15:00+00:00,1.34708,1.34711,1.3468,1.34682
2026-08-05 13:20:00+00:00,1.34684,1.3472,1.3466,1.34719
2026-08-05 13:25:00+00:00,1.34716,1.34746,1.34713,1.34742
2026-08-05 13:30:00+00:00,1.34736,1.34763,1.34735,1.3476
2026-08-05 13:35:00+00:00,1.34754,1.34754,1.34686,1.34692
2026-08-05 13:40:00+00:00,1.34686,1.34728,1.34673,1.34689
2026-08-05 13:45:00+00:00,1.34692,1.34692,1.34604,1.34607
2026-08-05 13:50:00+00:00,1.34614,1.34666,1.34608,1.34663
2026-08-05 13:55:00+00:00,1.34654,1.34678,1.34633,1.34636
2026-08-05 14:00:00+00:00,1.34639,1.34733,1.34624,1.34727
2026-08-05 14:05:00+00:00,1.34717,1.34816,1.34717,1.34814
2026-08-05 14:10:00+00:00,1.3481,1.34814,1.34765,1.34769
2026-08-05 14:15:00+00:00,1.34772,1.3485,1.34762,1.34845
2026-08-05 14:20:00+00:00,1.34831,1.34864,1.34818,1.34821
2026-08-05 14:25:00+00:00,1.34825,1.34854,1.34809,1.34813
2026-08-05 14:30:00+00:00,1.34818,1.34832,1.34773,1.34784
2026-08-05 14:35:00+00:00,1.34783,1.34783,1.34769,1.34772
2026-08-05 14:40:00+00:00,1.34773,1.34787,1.3476,1.34785
2026-08-05 14:45:00+00:00,1.34782,1.34784,1.34749,1.34766
2026-08-05 14:50:00+00:00,1.34763,1.34776,1.34717,1.34722
2026-08-05 14:55:00+00:00,1.34731,1.3479,1.34707,1.34789
2026-08-05 15:00:00+00:00,1.34783,1.34824,1.34775,1.34821
2026-08-05 15:05:00+00:00,1.34813,1.34813,1.34735,1.34736
2026-08-05 15:10:00+00:00,1.3474,1.34757,1.34712,1.34716
2026-08-05 15:15:00+00:00,1.34723,1.34723,1.34667,1.3467
2026-08-05 15:20:00+00:00,1.34672,1.34696,1.34672,1.34694
2026-08-05 15:25:00+00:00,1.34692,1.34695,1.34673,1.34688
2026-08-05 15:30:00+00:00,1.34685,1.34689,1.34646,1.34648
2026-08-05 15:35:00+00:00,1.34651,1.34673,1.34645,1.34669
2026-08-05 15:40:00+00:00,1.34659,1.34693,1.34659,1.34678
2026-08-05 15:45:00+00:00,1.34678,1.34698,1.34598,1.34602
2026-08-05 15:50:00+00:00,1.34608,1.34608,1.34575,1.34593
2026-08-05 15:55:00+00:00,1.34589,1.34637,1.34585,1.34623
2026-08-05 16:00:00+00:00,1.34623,1.34637,1.3462,1.34621
2026-08-05 16:05:00+00:00,1.34622,1.34635,1.34603,1.34628
2026-08-05 16:10:00+00:00,1.34616,1.34664,1.34616,1.34642
2026-08-05 16:15:00+00:00,1.34639,1.34663,1.34639,1.34646
2026-08-05 16:20:00+00:00,1.34648,1.34678,1.34648,1.34676
2026-08-05 16:25:00+00:00,1.34673,1.34683,1.34653,1.34655
2026-08-05 16:30:00+00:00,1.34655,1.34657,1.34629,1.34633
2026-08-05 16:35:00+00:00,1.34638,1.34645,1.34623,1.34632
2026-08-05 16:40:00+00:00,1.34633,1.34635,1.34622,1.34631
2026-08-05 16:45:00+00:00,1.34628,1.34638,1.34609,1.3461
2026-08-05 16:50:00+00:00,1.34611,1.34633,1.34611,1.34631
2026-08-05 16:55:00+00:00,1.34628,1.34631,1.346,1.34601
2026-08-05 17:00:00+00:00,1.34603,1.34611,1.34573,1.34575
2026-08-05 17:05:00+00:00,1.34579,1.34588,1.34564,1.34566
2026-08-05 17:10:00+00:00,1.3457,1.34592,1.34561,1.34589
2026-08-05 17:15:00+00:00,1.34587,1.34608,1.34576,1.34606
2026-08-05 17:20:00+00:00,1.34601,1.34608,1.34593,1.34594
2026-08-05 17:25:00+00:00,1.34598,1.34648,1.34598,1.34646
2026-08-05 17:30:00+00:00,1.3464,1.34653,1.34638,1.34652
2026-08-05 17:35:00+00:00,1.34646,1.34675,1.34646,1.34672
2026-08-05 17:40:00+00:00,1.34668,1.34695,1.34668,1.34689
2026-08-05 17:45:00+00:00,1.34682,1.34707,1.34682,1.34689
2026-08-05 17:50:00+00:00,1.3469,1.34698,1.34687,1.34696
2026-08-05 17:55:00+00:00,1.34693,1.34709,1.34677,1.34708
2026-08-05 18:00:00+00:00,1.34706,1.34716,1.34692,1.34713
2026-08-05 18:05:00+00:00,1.34708,1.34725,1.34694,1.34696
2026-08-05 18:10:00+00:00,1.34699,1.34713,1.34692,1.34709
2026-08-05 18:15:00+00:00,1.34708,1.34708,1.3468,1.34688
2026-08-05 18:20:00+00:00,1.34686,1.34715,1.34684,1.34712
2026-08-05 18:25:00+00:00,1.34707,1.34732,1.34707,1.34729
2026-08-05 18:30:00+00:00,1.34726,1.34733,1.34699,1.34701
2026-08-05 18:35:00+00:00,1.34704,1.34704,1.34694,1.34702
2026-08-05 18:40:00+00:00,1.34697,1.34701,1.3468,1.3468
2026-08-05 18:45:00+00:00,1.34681,1.34705,1.34663,1.34704
2026-08-05 18:50:00+00:00,1.347,1.347,1.34686,1.34692
2026-08-05 18:55:00+00:00,1.3469,1.34704,1.34681,1.34698
2026-08-05 19:00:00+00:00,1.34698,1.34705,1.34693,1.347
2026-08-05 19:05:00+00:00,1.347,1.34702,1.34678,1.34689
2026-08-05 19:10:00+00:00,1.34686,1.34686,1.34664,1.34672
2026-08-05 19:15:00+00:00,1.34669,1.34678,1.34651,1.34653
2026-08-05 19:20:00+00:00,1.34656,1.34656,1.3464,1.34651
2026-08-05 19:25:00+00:00,1.34646,1.34662,1.3464,1.34643
2026-08-05 19:30:00+00:00,1.34646,1.34657,1.34638,1.34656
2026-08-05 19:35:00+00:00,1.34654,1.34657,1.34646,1.34646
2026-08-05 19:40:00+00:00,1.34648,1.3466,1.34642,1.34654
2026-08-05 19:45:00+00:00,1.34654,1.34661,1.34637,1.34639
2026-08-05 19:50:00+00:00,1.3464,1.34646,1.34636,1.34639
2026-08-05 19:55:00+00:00,1.34639,1.34661,1.34636,1.34643
2026-08-05 20:00:00+00:00,1.34645,1.34673,1.34642,1.34654
2026-08-05 20:05:00+00:00,1.34656,1.34665,1.34655,1.34658
2026-08-05 20:10:00+00:00,1.34656,1.34666,1.34642,1.34644
2026-08-05 20:15:00+00:00,1.34646,1.34646,1.34628,1.34628
2026-08-05 20:20:00+00:00,1.34629,1.34635,1.34618,1.34624
2026-08-05 20:25:00+00:00,1.34625,1.34654,1.34625,1.3465
2026-08-05 20:30:00+00:00,1.34647,1.34667,1.34647,1.34666
2026-08-05 20:35:00+00:00,1.34662,1.3467,1.34662,1.34663
2026-08-05 20:40:00+00:00,1.34664,1.34673,1.34657,1.34657
2026-08-05 20:45:00+00:00,1.34657,1.3467,1.34653,1.34659
2026-08-05 20:50:00+00:00,1.34658,1.34674,1.34658,1.34674
2026-08-05 20:55:00+00:00,1.34672,1.34689,1.34665,1.34688
2026-08-05 21:00:00+00:00,1.34685,1.34688,1.34673,1.3468
2026-08-05 21:05:00+00:00,1.3468,1.34685,1.34647,1.3465
2026-08-05 21:10:00+00:00,1.34653,1.34669,1.34647,1.34663
2026-08-05 21:15:00+00:00,1.34663,1.34707,1.34638,1.347
2026-08-05 21:20:00+00:00,1.3469,1.34707,1.34653,1.34654
2026-08-05 21:25:00+00:00,1.34655,1.34677,1.34649,1.34664
2026-08-05 21:30:00+00:00,1.3466,1.34669,1.34639,1.34664
2026-08-05 21:35:00+00:00,1.34662,1.34672,1.34638,1.34651
2026-08-05 21:40:00+00:00,1.34655,1.34671,1.34655,1.34662
2026-08-05 21:45:00+00:00,1.34661,1.34675,1.34655,1.34672
2026-08-05 21:50:00+00:00,1.34669,1.34672,1.3466,1.34661
2026-08-05 21:55:00+00:00,1.34663,1.34677,1.34647,1.34651
2026-08-05 22:00:00+00:00,1.34651,1.34671,1.34647,1.34668
2026-08-05 22:05:00+00:00,1.34667,1.34667,1.34647,1.34652
2026-08-05 22:10:00+00:00,1.34649,1.34664,1.34643,1.34663
2026-08-05 22:15:00+00:00,1.34658,1.34681,1.34658,1.34678
2026-08-05 22:20:00+00:00,1.34673,1.34681,1.34673,1.34675
2026-08-05 22:25:00+00:00,1.34674,1.34678,1.34669,1.34676
2026-08-05 22:30:00+00:00,1.34672,1.3468,1.34664,1.3467
2026-08-05 22:35:00+00:00,1.34668,1.34675,1.34667,1.3467
2026-08-05 22:40:00+00:00,1.3467,1.34674,1.34667,1.34671
2026-08-05 22:45:00+00:00,1.34669,1.3468,1.34669,1.34677
2026-08-05 22:50:00+00:00,1.34674,1.34681,1.3466,1.34661
